"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 23 07:34:45 UTC 2023","Tue May 23 07:34:47 UTC 2023","1650","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"passed","Tue May 23 07:34:58 UTC 2023","Tue May 23 07:34:59 UTC 2023","1948","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"broken","Tue May 23 06:58:10 UTC 2023","Tue May 23 06:58:53 UTC 2023","42172","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"passed","Tue May 23 07:36:37 UTC 2023","Tue May 23 07:36:39 UTC 2023","2415","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Tue May 23 07:34:30 UTC 2023","Tue May 23 07:34:32 UTC 2023","2104","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"passed","Tue May 23 07:34:45 UTC 2023","Tue May 23 07:34:48 UTC 2023","2712","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"broken","Tue May 23 07:35:51 UTC 2023","Tue May 23 07:36:26 UTC 2023","34638","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"passed","Tue May 23 07:34:37 UTC 2023","Tue May 23 07:34:40 UTC 2023","3703","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"broken","Tue May 23 07:36:08 UTC 2023","Tue May 23 07:36:42 UTC 2023","34393","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"passed","Tue May 23 07:36:00 UTC 2023","Tue May 23 07:36:03 UTC 2023","2450","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Tue May 23 07:35:45 UTC 2023","Tue May 23 07:35:47 UTC 2023","1847","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
