"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 23 07:28:21 UTC 2023","Tue May 23 07:28:23 UTC 2023","2385","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"passed","Tue May 23 07:28:06 UTC 2023","Tue May 23 07:28:08 UTC 2023","2570","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"broken","Tue May 23 07:28:18 UTC 2023","Tue May 23 07:28:55 UTC 2023","36464","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"passed","Tue May 23 07:28:41 UTC 2023","Tue May 23 07:28:54 UTC 2023","12846","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"passed","Tue May 23 07:28:13 UTC 2023","Tue May 23 07:28:15 UTC 2023","2482","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"passed","Tue May 23 07:28:35 UTC 2023","Tue May 23 07:28:56 UTC 2023","20577","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Tue May 23 07:28:17 UTC 2023","Tue May 23 07:28:20 UTC 2023","2755","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Tue May 23 07:28:30 UTC 2023","Tue May 23 07:28:32 UTC 2023","2064","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"broken","Tue May 23 06:58:10 UTC 2023","Tue May 23 06:58:53 UTC 2023","42172","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"passed","Tue May 23 07:28:18 UTC 2023","Tue May 23 07:28:21 UTC 2023","3720","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"broken","Tue May 23 07:28:06 UTC 2023","Tue May 23 07:28:53 UTC 2023","46741","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
